total,total_page,id_pkk,no_pkk,no_pkk_inaportnet,ppkb_code,arrive_date,departure_date,voyage_in,voyage_out,visit_name,cruise_name,vessel_name,call_sign,imo_number,flag_name,company_name,code_customer,name_process_code,process_code,gt,loa,dwt,name_branch,port_code,no_nota_origin,no_nota_origin_air
42317,5,VTJGc2RHVmtYMS9XVUJRU25rVnA4VUwyMWlzNlJyWCtQb2dNeUYvSTJZTT0=,APV013000041,PKK.DN.IDSUB.2503.000599,251301004414,2025-03-16T05:00:00.000Z,2025-03-26T05:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,ALKEN PERSADA VIII,YHNV,8626317,INDONESIA,PELAYARAN SURYA HANDAL SAKTI,20780,Request PPKB,1,643,56.55,1000,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMThBbE1QZTFGYjJwVS81RGpZeWJOSmgrbS9mdDhZQ0Jicz0=,0SNH13000237,PKK.DN.IDGRE.2503.000422,251301004408,2025-03-16T00:00:00.000Z,2025-03-17T16:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,WIRANDI XIV,-,,INDONESIA,"MATSUURA INDONESIA JAYA, PT",0210012863,Request PPKB,1,2194,74,0,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMTlkUUFxL2cwUHBzMmJyQmtxVDV0RnMxcWwxZVZZajF6QT0=,2PMF13000253,PKK.DN.IDGRE.2503.000423,251301004409,2025-03-16T00:00:00.000Z,2025-03-17T16:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,KSD 07,YD3875,,INDONESIA,"MATSUURA INDONESIA JAYA, PT",0210012863,Request PPKB,1,197,26,0,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMStKanJjZktOWE5ZcDNWVEVZS3RrbTlpY2F0QjgrbXJqMD0=,222K13000039,PKK.DN.IDSUB.2503.000594,251301004400,2025-03-16T06:00:00.000Z,2025-03-18T13:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,KLASOGUN,PMHS,9179907,INDONESIA,"PERTAMINA TRANS KONTINENTAL, PT",0480121,Request PPKB,1,5271,105,6500,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMS9sck96WkpjT0wwRU92Q1BIc0J6QXdqNnUvenVsUlZ1bz0=,S94213000001,PKK.LN.IDSUB.2503.000595,251301004401,2025-03-15T11:00:00.000Z,2025-03-16T09:00:00.000Z,508S,511N,KAPAL NIAGA,LUAR NEGERI,AS PIA,V2EE9,9434450,ANTIGUA AND BARBUDA,"SAMUDERA AGENCIES INDONESIA, PT",0210012029,Realization,2,27114,202.16,34269,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMTlPdjJ6aHBZNERyMUZHQUdoYmdtK0ZLTUQrUjFnUDkzWT0=,DO0013000274,PKK.DN.IDSUB.2503.000593,251301004399,2025-03-16T07:00:00.000Z,2025-03-16T14:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,DLN OASIS,YCSD2,9869502,INDONESIA,"DAMAI LAUTAN NUSANTARA, PT",0210013285,Request PPKB,1,9170,109.48,12000,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMStybXk4STFpek1YbkFCTEpzOU1yb0pJWW5uKzJIcEY3VT0=,DOHD13000135,PKK.DN.IDSUB.2503.000592,251301004398,2025-03-16T15:00:00.000Z,2025-03-17T01:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,DLN MANDALIKA,YDCT3,9979400,INDONESIA,"DAMAI LAUTAN NUSANTARA, PT",0210013285,Request PPKB,1,12242,132,13000,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMTlaTzZaSUtQeXVCN2kya3AvSGdqdjcvUEFyTkpmd1B4bz0=,8ON413000001,PKK.DN.IDGRE.2503.000420,251301004397,2025-03-16T08:00:00.000Z,2025-03-22T08:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,MICHELLE X,YDC6193,9974711,INDONESIA,"BINTANG SAMUDERA ABADI LOGISTIK , PT",0210014447,Request PPKB,1,178,26.26,0,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMTlwd2JXNGJLWUZRdWVzM2JxTTJEejc3SDRGNlJMNjhkYz0=,SKI313000115,PKK.DN.IDSUB.2503.000591,251301004396,2025-03-16T02:00:00.000Z,2025-03-16T16:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,DHARMA FERRY VI,POES,8904563,INDONESIA,"DHARMA LAUTAN UTAMA, PT",00121,Request PPKB,1,2837,76.88,4000,TANJUNG PERAK,IDSUB,,
42317,5,VTJGc2RHVmtYMStIbFNxVE4xOWpzMEZSUTVwbVowdG1Ya2NnV3RsSE1nVT0=,Z09S13000008,PKK.DN.IDSUB.2503.000590,251301004395,2025-03-16T08:00:00.000Z,2025-03-17T05:00:00.000Z,1503,1503,KAPAL NIAGA,DALAM NEGERI,GAIVOTA,YBAY2,9769324,INDONESIA,"LINTAS KUMALA ABADI, PT",20923,Request PPKB,1,2094,74.8,0,TANJUNG PERAK,IDSUB,,
