total,total_page,id_pkk,no_pkk,no_pkk_inaportnet,ppkb_code,arrive_date,departure_date,voyage_in,voyage_out,visit_name,cruise_name,vessel_name,call_sign,imo_number,flag_name,company_name,code_customer,name_process_code,process_code,gt,loa,dwt,name_branch,port_code,no_nota_origin,no_nota_origin_air
157932,4,VTJGc2RHVmtYMTlJTFZ6ckFPT3d3UzNJUGphQ3V6WVhISC92TFVWOG50az0=,KM3383000004,PKK.DN.IDSMQ.2503.000372,258301001130,2025-03-25T11:00:00.000Z,2025-03-27T16:55:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,KEDUNG MAS,YBQO2,9813199,INDONESIA,"TEMAS SHIPPING, PT",1710001034,Request PPKB,1,4990.0,107.8,5300.0,SAMPIT,IDSMQ,,
157932,4,VTJGc2RHVmtYMS81Z3V5N0kwbGxvYkZnUExWNVRQdldyQ2xBeEdXM05Qcz0=,BRAN25000118,PKK.DN.IDBDJ.2503.003024,252501008868,2025-03-25T19:00:00.000Z,2025-03-28T15:00:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,BARAN,,,INDONESIA,"TERA LOGISTIC INDONESIA, PT",1510002941,Request PPKB,1,4408.0,105.16,10343.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMTlXSm5LWGtRMkhSRjVNeHJGeVdIYUFEell4SHV5VGpHMD0=,MK8M25000074,PKK.DN.IDBDJ.2503.003021,252501008865,2025-03-25T10:00:00.000Z,2025-03-26T15:00:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,NANIA,,,INDONESIA,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",00326,Request PPKB,1,3373.0,87.76,7550664.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMTh4M29YVWdJU2h4WWVsSUREdmlrZlNlajV1amp6Qnp5dz0=,RRL825000106,PKK.DN.IDBDJ.2503.003020,252501008864,2025-03-25T19:00:00.000Z,2025-03-28T15:00:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,MJL 303,,,INDONESIA,"TERA LOGISTIC INDONESIA, PT",1510002941,Request PPKB,1,3447.0,91.44,8540.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMS9qaDl2WjFid29kTkhhajlGMGhMZlF0dnptZjdjM2RCQT0=,LCTRNS83125000002,,252501008861,2025-03-25T04:00:00.000Z,2025-03-26T01:00:00.000Z,8310002A,8310002B,KAPAL NIAGA,DALAM NEGERI,LCT. RANNISA 831,RAN831,,INDONESIA,MAJU JAYA LINE PT,240003123,Request PPKB,1,563.0,58.5,0.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMTk3byt2UHB6Z3NxT0krUXlkcGI5UkRNckdzNmo5WHE3az0=,ID8025000036,PKK.DN.IDBDJ.2503.003018,252501008862,2025-03-26T08:00:00.000Z,2025-03-27T00:00:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,INTAN DAYA 88,YBKV2,9804540,INDONESIA,"PERUSAHAAN PELAYARAN NUSANTARA PANURJWAN, PT",02138,Request PPKB,1,2992.0,89.8,4593.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMThWaFczdlhFOFowbG1WYTdOZFZHRzBaWmFaeTFsMHAxaz0=,SZ0025000076,PKK.DN.IDBDJ.2503.003016,252501008859,2025-03-25T17:00:00.000Z,2025-03-28T22:00:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,SULTAN ZULKARNAEN,YBSE2,9807396,INDONESIA,"PERTAMINA TRANS KONTINENTAL, PT",40270,Request PPKB,1,3678.0,98.34,6907.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMStKMDBVdGUxZCtvKzFGZ1Y0Uk0rMjRSZUZjU1Y1SXRaRT0=,0ESI25000002,,252501008858,2025-03-25T02:00:00.000Z,2025-03-25T02:30:00.000Z,25325,25325,KAPAL NON NIAGA,DALAM NEGERI,PATRA 33,,,INDONESIA,"NABILA RIZKI SAMUDERA, PT",1510002940,Request PPKB,1,2793.0,76.2,0.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMTkvZzNzRDNZLzZxZkp0MXdIZ0M2amdsb0dSN2NuMzBraz0=,R8IN25000002,,252501008855,2025-03-25T05:00:00.000Z,2025-03-25T15:00:00.000Z,2,2,KAPAL NON NIAGA,DALAM NEGERI,MARUTA XX,,,INDONESIA,"MASADA JAYA LINES, PT",92088,Request PPKB,1,2784.0,76.2,6000.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMThGMjZyZ1J5UUJJTy9aTFRqUnZzYUdWbXZReHVWWEoraz0=,APV025000016,PKK.DN.IDBDJ.2503.003013,252501008852,2025-03-26T06:20:00.000Z,2025-03-27T11:21:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,ALKEN PERSADA VIII,YHNV,8626317,INDONESIA,MITRA BERSAMA MANUNTUNG PT,240003158,Request PPKB,1,643.0,56.55,1250.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMThUY25UQTVVa0d3clBsbW9Tb1QyUVZNTk5rM2JmSi8vcz0=,SOE725000026,,252501008850,2025-03-24T23:39:00.000Z,2025-03-25T00:39:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,SOEKAWATI 707,,,INDONESIA,"SAUFA KHALID MARITIM SAMUDERA, PT",1510003064,Realization,2,3065.0,91.5,7553.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMTkxYS9lYi9PeFBEczM1YUVLc1FNLytrNG5lSnJuMmtzUT0=,IKFJ25000111,PKK.DN.IDBDJ.2503.003010,252501008847,2025-03-25T11:00:00.000Z,2025-03-27T15:00:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,MJL 306,,,INDONESIA,"TERA LOGISTIC INDONESIA, PT",1510002941,Request PPKB,1,3447.0,91.44,8679.0,BANJARMASIN,IDBDJ,,
157932,4,VTJGc2RHVmtYMTlzSnRxTlN6TVIvT01wZGJwN0NVU2ZVSU56bXBRbnM4RT0=,DRI025000278,PKK.DN.IDBDJ.2503.003011,252501008848,2025-03-25T10:00:00.000Z,2025-03-25T15:00:00.000Z,2503,2503,KAPAL NIAGA,DALAM NEGERI,DHARMA RUCITRA I,JZMG,8921767,INDONESIA,"DHARMA LAUTAN UTAMA, PT",00886,Request PPKB,1,11479.0,134.6,3444.0,BANJARMASIN,IDBDJ,,
