no_pkk_inaportnet,no_pkk,vessel_name,gt,loa,company_name,name_process_code,name_branch,departure_date,nomor_pkk,nomor_spb
PKK.DN.IDBDJ.2408.002160,G4Z525000001,SAMUDERA JAYA 3003,3686.0,91.5,"SAGA MAS LESTARI, PT",Realization,BANJARMASIN,2024-08-19T09:00:00.000Z,PKK.DN.IDBDJ.2408.002160,SPB.IDBDJ.0325.0002884
PKK.DN.IDBOA.2503.002190,PJA527000022,PULAU JAYA  V,858.0,54.02,"PERTAMINA TRANS KONTINENTAL, PT",Realization,BENOA,2025-03-24T12:00:00.000Z,PKK.DN.IDBOA.2503.002190,SPB.IDBOA.0325.0002254
PKK.DN.IDKBU.2503.000426,M23957000004,MANALAGI PRITA,40489.0,225.0,PT. RIANDY FIESTA SAMUDERA,Request PPKB,KOTABARU,2025-03-21T10:14:00.000Z,PKK.DN.IDKBU.2503.000426,SPB.IDKBU.0325.0000548
PKK.DN.IDKUM.2503.000155,000A74000014,AWU,6022.0,99.8,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,KUMAI,2025-03-23T15:00:00.000Z,PKK.DN.IDKUM.2503.000155,SPB.IDKUM.0325.0000170
PKK.DN.IDSUB.2503.000897,000L13000033,LAWIT,6022.0,99.8,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,TANJUNG PERAK,2025-03-24T01:00:00.000Z,PKK.DN.IDSUB.2503.000897,SPB.IDSUB.0325.0000892
PKK.DN.IDBDJ.2503.002775,DRI025000277,DHARMA RUCITRA I,11479.0,134.6,"DHARMA LAUTAN UTAMA, PT",Realization,BANJARMASIN,2025-03-23T15:00:00.000Z,PKK.DN.IDBDJ.2503.002775,SPB.IDBDJ.0325.0002879
PKK.DN.IDBDJ.2503.002774,MU0025000203,MILA UTAMA,10833.0,134.36,"TIMUR MILA UTAMA, PT",Realization,BANJARMASIN,2025-03-23T17:00:00.000Z,PKK.DN.IDBDJ.2503.002774,SPB.IDBDJ.0325.0002891
PKK.DN.IDSTU.2503.000444,GS1657000006,GSL 16,3153.0,91.5,"NABILA RIZKI SAMUDERA, PT",Request PPKB,KOTABARU,2025-03-20T15:55:00.000Z,PKK.DN.IDSTU.2503.000444,SPB.IDSTU.0325.0000556
PKK.DN.IDKOE.2503.000143,SN4529000067,SABUK NUSANTARA 43,2090.0,68.5,"SUASANA BARU LINE, PT",Realization,TENAU KUPANG,2025-03-24T15:55:00.000Z,PKK.DN.IDKOE.2503.000143,SPB.IDKOE.0325.0000145
PKK.DN.IDSUB.2503.000896,000D13000079,DOBONSOLO,14403.0,146.5,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,TANJUNG PERAK,2025-03-23T16:00:00.000Z,PKK.DN.IDSUB.2503.000896,SPB.IDSUB.0325.0000880
PKK.DN.IDSUB.2503.000887,444K13000091,KELIMUTU,6022.0,99.8,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,TANJUNG PERAK,2025-03-23T11:00:00.000Z,PKK.DN.IDSUB.2503.000887,SPB.IDSUB.0325.0000864
PKK.DN.IDSUB.2503.000889,HXUH13000287,DHARMA KARTIKA II,20876.0,153.0,"DHARMA LAUTAN UTAMA, PT",Realization,TANJUNG PERAK,2025-03-23T16:00:00.000Z,PKK.DN.IDSUB.2503.000889,SPB.IDSUB.0325.0000874
PKK.DN.IDSUB.2503.000888,888L13000001,LAMBELU,14649.0,146.5,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,TANJUNG PERAK,2025-03-23T23:00:00.000Z,PKK.DN.IDSUB.2503.000888,SPB.IDSUB.0325.0000885
PKK.DN.IDSUB.2503.000886,DO0013000277,DLN OASIS,9170.0,109.48,"DAMAI LAUTAN NUSANTARA, PT",Realization,TANJUNG PERAK,2025-03-23T17:00:00.000Z,PKK.DN.IDSUB.2503.000886,SPB.IDSUB.0325.0000877
PKK.LN.IDSUB.2503.000881,G3VZ13000005,MV. STARSHIP VENUS,27997.0,196.16,PT.TRANS MARITIM AGENSI,Realization,TANJUNG PERAK,2025-03-24T01:00:00.000Z,PKK.LN.IDSUB.2503.000881,SPB.IDSUB.0325.0000875
PKK.DN.IDSUB.2503.000877,DFV013000173,DHARMA FERRY VII,27621.0,186.0,"DHARMA LAUTAN UTAMA, PT",Realization,TANJUNG PERAK,2025-03-23T16:00:00.000Z,PKK.DN.IDSUB.2503.000877,SPB.IDSUB.0325.0000883
PKK.LN.IDSUB.2503.000868,F4XB13000003,MV. WAN HAI 377,30676.0,203.5,"PELAYARAN TRESNAMUDA SEJATI, PT",Realization,TANJUNG PERAK,2025-03-23T21:00:00.000Z,PKK.LN.IDSUB.2503.000868,SPB.IDSUB.0325.0000873
PKK.DN.IDBDJ.2503.002701,7F5Y25000001,NRS X,3160.0,91.44,"BARUNA PASIFIK RAYA, PT",Realization,BANJARMASIN,2025-03-23T15:00:00.000Z,PKK.DN.IDBDJ.2503.002701,SPB.IDBDJ.0325.0002754
PKK.DN.IDBDJ.2503.002676,R6SZ25000095,ISA 3303,4356.0,100.58,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-24T15:00:00.000Z,PKK.DN.IDBDJ.2503.002676,SPB.IDBDJ.0325.0002848
PKK.DN.IDBDJ.2503.002678,D5J225000080,MBP 1203,5340.0,111.25,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-24T15:00:00.000Z,PKK.DN.IDBDJ.2503.002678,SPB.IDBDJ.0325.0002865
PKK.DN.IDSRG.2503.000237,000A09000010,AWU,6022.0,99.8,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,TANJUNG EMAS,2025-03-22T12:00:00.000Z,PKK.DN.IDSRG.2503.000237,SPB.IDSRG.0325.0000250
PKK.DN.IDBDJ.2503.002668,HXUH25000286,DHARMA KARTIKA II,20876.0,153.0,"DHARMA LAUTAN UTAMA, PT",Realization,BANJARMASIN,2025-03-22T12:00:00.000Z,PKK.DN.IDBDJ.2503.002668,SPB.IDBDJ.0325.0002715
PKK.DN.IDKBU.2503.000569,YCTO57000010,MBP 1501,7295.0,114.0,PT. TERA LOGISTIC INDONESIA,Realization,KOTABARU,2025-03-24T02:00:00.000Z,PKK.DN.IDKBU.2503.000569,SPB.IDKBU.0325.0000611
PKK.DN.IDBDJ.2503.002653,JRDA25000016,IHSAN 5,1353.0,69.9,"BARITO GAS UTAMA, PT",Realization,BANJARMASIN,2025-03-25T15:00:00.000Z,PKK.DN.IDBDJ.2503.002653,SPB.IDBDJ.0325.0002817
PKK.DN.IDBDJ.2503.002645,86A525000103,BELIAN,4408.0,105.16,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-24T15:00:00.000Z,PKK.DN.IDBDJ.2503.002645,SPB.IDBDJ.0325.0002868
PKK.DN.IDBDJ.2503.002635,FLIC25000056,FELICE,3399.0,91.44,"GLOBAL TRANS ENERGY INTERNASIONAL, PT",Realization,BANJARMASIN,2025-03-23T15:00:00.000Z,PKK.DN.IDBDJ.2503.002635,SPB.IDBDJ.0325.0002839
PKK.DN.IDSUB.2503.000847,ID1013000047,INTAN DAYA 11,2996.0,89.8,"PERUSAHAAN PELAYARAN NUSANTARA PANURJWAN, PT",Realization,TANJUNG PERAK,2025-03-23T16:00:00.000Z,PKK.DN.IDSUB.2503.000847,SPB.IDSUB.0325.0000890
PKK.DN.IDBDJ.2503.002632,7C3O25000030,HASNUR 332,4249.0,96.56,PT Jaga Agensi Kapal Indonesia,Realization,BANJARMASIN,2025-03-22T15:00:00.000Z,PKK.DN.IDBDJ.2503.002632,SPB.IDBDJ.0325.0002837
PKK.DN.IDBDJ.2503.002628,P5O225000009,KH ALFA 68,2173.0,82.3,"BINA BANUA SAMUDERA, PT",Realization,BANJARMASIN,2025-03-22T15:00:00.000Z,PKK.DN.IDBDJ.2503.002628,SPB.IDBDJ.0325.0002678
PKK.DN.IDBDJ.2503.002626,4O5T25000005,MJL 3018,3430.0,91.44,"MASADA JAYA LINES, PT",Realization,BANJARMASIN,2025-03-26T15:00:00.000Z,PKK.DN.IDBDJ.2503.002626,SPB.IDBDJ.0325.0002827
PKK.DN.IDSRG.2503.000230,GO3309000047,GAS OMEGA,3157.0,96.0,"PERTAMINA TRANS KONTINENTAL, PT",Realization,TANJUNG EMAS,2025-03-22T20:00:00.000Z,PKK.DN.IDSRG.2503.000230,SPB.IDSRG.0325.0000251
PKK.DN.IDBDJ.2503.002617,J9TE25000096,MBP 1510,7487.0,118.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-24T15:00:00.000Z,PKK.DN.IDBDJ.2503.002617,SPB.IDBDJ.0325.0002855
PKK.DN.IDSRG.2503.000229,V9AO09000022,KIRANA III,2635.0,78.4,"DHARMA LAUTAN UTAMA, PT",Realization,TANJUNG EMAS,2025-03-23T02:00:00.000Z,PKK.DN.IDSRG.2503.000229,SPB.IDSRG.0325.0000254
PKK.DN.IDBDJ.2503.002610,6PVS25000004,CAKRAWALA XXI 2023,4338.0,100.58,SARANA MARITIM SEJAHTERA PT,Realization,BANJARMASIN,2025-03-21T22:00:00.000Z,PKK.DN.IDBDJ.2503.002610,SPB.IDBDJ.0325.0002695
PKK.DN.IDSUB.2503.000832,MDF913000026,MERATUS BENOA,3668.0,106.68,"MERATUS LINE, PT",Realization,TANJUNG PERAK,2025-03-23T15:00:00.000Z,PKK.DN.IDSUB.2503.000832,SPB.IDSUB.0325.0000886
PKK.LN.IDKBU.2503.000560,MV5157000001,MT GLOBAL APOLLON,10754.0,141.31,PT. PENASCOP,Realization,KOTABARU,2025-03-23T00:00:00.000Z,PKK.LN.IDKBU.2503.000560,SPB.IDKBU.0325.0000617
PKK.DN.IDSUB.2503.000831,SR9113000023,SPIL RATNA,6504.0,119.9,"SALAM PACIFIC INDONESIA LINES, PT",Realization,TANJUNG PERAK,2025-03-23T23:00:00.000Z,PKK.DN.IDSUB.2503.000831,SPB.IDSUB.0325.0000881
PKK.DN.IDBDJ.2503.002605,VGMF25000065,MJL 3012,3117.0,91.44,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-24T15:00:00.000Z,PKK.DN.IDBDJ.2503.002605,SPB.IDBDJ.0325.0002845
PKK.DN.IDSRG.2503.000226,131L09000010,LEUSER,6022.0,91.5,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,TANJUNG EMAS,2025-03-21T21:00:00.000Z,PKK.DN.IDSRG.2503.000226,SPB.IDSRG.0325.0000241
PKK.LN.IDSRG.2503.000227,RKTF09000023,MTT SANDAKAN,19292.0,172.0,"BAHARI EKA NUSANTARA, PT",Realization,TANJUNG EMAS,2025-03-24T15:00:00.000Z,PKK.LN.IDSRG.2503.000227,SPB.IDSRG.0325.0000255
PKK.DN.IDSRG.2503.000225,JE0009000009,JABBAR ENERGY,4029.0,99.95,"PERTAMINA TRANS KONTINENTAL, PT",Realization,TANJUNG EMAS,2025-03-23T16:00:00.000Z,PKK.DN.IDSRG.2503.000225,SPB.IDSRG.0325.0000245
PKK.DN.IDBDJ.2503.002592,DS3325000035,DEWI SRI,2755.0,91.95,"PERTAMINA TRANS KONTINENTAL, PT",Realization,BANJARMASIN,2025-03-24T22:00:00.000Z,PKK.DN.IDBDJ.2503.002592,SPB.IDBDJ.0325.0002770
PKK.DN.IDBDJ.2503.002580,A0MP25000100,MBP 1512,7487.0,118.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-24T15:00:00.000Z,PKK.DN.IDBDJ.2503.002580,SPB.IDBDJ.0325.0002847
PKK.DN.IDBDJ.2503.002591,121L25000119,MBP 1402,7950.0,112.5,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-24T15:00:00.000Z,PKK.DN.IDBDJ.2503.002591,SPB.IDBDJ.0325.0002851
PKK.DN.IDBDJ.2503.002581,3XRE25000016,FAJAR BAHARI VIII,10122.0,109.0,"FAJAR BAHARI NUSANTARA, PT",Realization,BANJARMASIN,2025-03-22T20:00:00.000Z,PKK.DN.IDBDJ.2503.002581,SPB.IDBDJ.0325.0002761
PKK.DN.IDBJU.2503.000100,WQS823000002,DANIA,1857.0,79.97,"RIZKY BAHARI SAMUDRA,PT",Request PPKB,TANJUNG WANGI,2025-03-22T10:00:00.000Z,PKK.DN.IDBJU.2503.000100,SPB.IDBJU.0325.0000096
PKK.DN.IDBDJ.2503.002565,DRI025000276,DHARMA RUCITRA I,11479.0,134.6,"DHARMA LAUTAN UTAMA, PT",Realization,BANJARMASIN,2025-03-21T15:00:00.000Z,PKK.DN.IDBDJ.2503.002565,SPB.IDBDJ.0325.0002607
PKK.DN.IDBDJ.2503.002563,GM7025000009,GEMILANG 2570,1974.0,76.2,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-23T15:00:00.000Z,PKK.DN.IDBDJ.2503.002563,SPB.IDBDJ.0325.0002585
PKK.DN.IDSUB.2503.000823,OS0013000025,OMEGA SELATAN,590.0,56.23,"INDOLINE INCOMEKITA, PT",Request PPKB,TANJUNG PERAK,2025-03-30T23:00:00.000Z,PKK.DN.IDSUB.2503.000823,SPB.IDSUB.0325.0000794
PKK.DN.IDBDJ.2503.002555,A02725000011,ARMADA SENADA,5320.0,120.6,"SALAM PACIFIC INDONESIA LINES, PT",Realization,BANJARMASIN,2025-03-22T16:00:00.000Z,PKK.DN.IDBDJ.2503.002555,SPB.IDBDJ.0325.0002768
PKK.DN.IDBDJ.2503.002553,2UCM25000077,PULAU TIGA 3456,4408.0,105.16,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-23T15:00:00.000Z,PKK.DN.IDBDJ.2503.002553,SPB.IDBDJ.0325.0002856
PKK.DN.IDBDJ.2503.002544,IM3325000001,IRIS MANDIRI,961.0,70.52,"LEMA SAMUDERA RAYA, PT",Realization,BANJARMASIN,2025-03-24T10:00:00.000Z,PKK.DN.IDBDJ.2503.002544,SPB.IDBDJ.0325.0002861
PKK.DN.IDBDJ.2503.002539,218V25000007,MBP 4006,1882.0,73.15,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-23T15:00:00.000Z,PKK.DN.IDBDJ.2503.002539,SPB.IDBDJ.0325.0002872
PKK.DN.IDKBU.2503.000548,BEL857000035,BELINI 8,2073.0,82.62,PT. TARUNA CIPTA KENCANA,Realization,KOTABARU,2025-03-22T15:00:00.000Z,PKK.DN.IDKBU.2503.000548,SPB.IDKBU.0325.0000576
PKK.DN.IDBDJ.2503.002528,A80825000012,APURA 088,3145.0,87.78,"BERKAH BATU ANTING, PT",Realization,BANJARMASIN,2025-03-21T15:00:00.000Z,PKK.DN.IDBDJ.2503.002528,SPB.IDBDJ.0325.0002603
PKK.DN.IDKBU.2503.000547,TL1357000016,TANKER LINEO 101,3097.0,94.87,PT. SINAR MARITIME PERKASA,Realization,KOTABARU,2025-03-22T15:00:00.000Z,PKK.DN.IDKBU.2503.000547,SPB.IDKBU.0325.0000565
PKK.DN.IDBDJ.2503.002519,GT0925000013,GOLD TRANS 309,3142.0,91.44,"TRANS POWER MARINE TBK, PT",Realization,BANJARMASIN,2025-03-22T15:00:00.000Z,PKK.DN.IDBDJ.2503.002519,SPB.IDBDJ.0325.0002829
PKK.DN.IDSRG.2503.000223,000L09000082,LAWIT,6022.0,99.8,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Realization,TANJUNG EMAS,2025-03-21T12:00:00.000Z,PKK.DN.IDSRG.2503.000223,SPB.IDSRG.0325.0000237
PKK.DN.IDBDJ.2503.002515,PR9J25000007,CAKRAWALA XV 2023,4338.0,100.58,SARANA MARITIM SEJAHTERA PT,Realization,BANJARMASIN,2025-03-20T22:00:00.000Z,PKK.DN.IDBDJ.2503.002515,SPB.IDBDJ.0325.0002821
PKK.DN.IDSRG.2503.000222,SR9209000006,SPIL RETNO,6797.0,21.8,"SALAM PACIFIC INDONESIA LINES, PT",Realization,TANJUNG EMAS,2025-03-21T16:00:00.000Z,PKK.DN.IDSRG.2503.000222,SPB.IDSRG.0325.0000240
PKK.DN.IDSUB.2503.000804,SH3313000033,SPIL HASYA,10165.0,135.69,"SALAM PACIFIC INDONESIA LINES, PT",Realization,TANJUNG PERAK,2025-03-23T16:00:00.000Z,PKK.DN.IDSUB.2503.000804,SPB.IDSUB.0325.0000884
PKK.DN.IDBDJ.2503.002509,LB3325000022,LINTAS BRANTAS,4192.0,111.9,"MERATUS LINE, PT",Realization,BANJARMASIN,2025-03-22T15:00:00.000Z,PKK.DN.IDBDJ.2503.002509,SPB.IDBDJ.0325.0002760
PKK.DN.IDSUB.2503.000800,DM0013000035,DAYAK MAS,4562.0,99.8,"TEMAS SHIPPING, PT",Realization,TANJUNG PERAK,2025-03-23T00:00:00.000Z,PKK.DN.IDSUB.2503.000800,SPB.IDSUB.0325.0000870
PKK.DN.IDBDJ.2501.000356,SD3125000042,SEA DRAGON 3068,3146.0,91.44,"MASADA JAYA LINES, PT",Realization,BANJARMASIN,2025-01-10T15:00:00.000Z,PKK.DN.IDBDJ.2501.000356,SPB.IDBDJ.0325.0002601
PKK.DN.IDBDJ.2503.002499,S26525000021,SOEKAWATI 2719,2137.0,82.3,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,BANJARMASIN,2025-03-21T05:10:00.000Z,PKK.DN.IDBDJ.2503.002499,SPB.IDBDJ.0325.0002712
PKK.DN.IDBDJ.2503.002498,CWWF25000010,ROBBY 361,3157.0,91.5,"PERUSAHAAN PELAYARAN RUSIANTO BERSAUDARA, PT",Realization,BANJARMASIN,2025-03-24T15:00:00.000Z,PKK.DN.IDBDJ.2503.002498,SPB.IDBDJ.0325.0002681
PKK.LN.IDSRG.2503.000218,3II309000001,EVER CANDID,18658.0,171.9,"EVERGREEN SHIPPING AGENCY INDONESIA, PT",Realization,TANJUNG EMAS,2025-03-22T01:00:00.000Z,PKK.LN.IDSRG.2503.000218,SPB.IDSRG.0325.0000249
PKK.LN.IDSRG.2503.000217,MT6609000006,MT. TRISTEN,5598.0,113.09,KALANDARA INDAH LAUTINDO PT,Realization,TANJUNG EMAS,2025-03-22T22:00:00.000Z,PKK.LN.IDSRG.2503.000217,SPB.IDSRG.0325.0000238
PKK.DN.IDSMQ.2503.000320,CM5583000003,CURUG MAS,4990.0,107.8,"TEMAS SHIPPING, PT",Realization,SAMPIT,2025-03-24T16:00:00.000Z,PKK.DN.IDSMQ.2503.000320,SPB.IDSMQ.0325.0000355
PKK.DN.IDBDJ.2503.002488,SKW325000033,SOEKAWATI 303,3060.0,91.5,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,BANJARMASIN,2025-03-21T04:00:00.000Z,PKK.DN.IDBDJ.2503.002488,SPB.IDBDJ.0325.0002796
PKK.DN.IDBDJ.2503.002482,MH1N25000076,RMN 3316,4338.0,100.58,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-20T15:00:00.000Z,PKK.DN.IDBDJ.2503.002482,SPB.IDBDJ.0325.0002506
PKK.DN.IDBDJ.2503.002481,DIR225000026,DIRGAHAYU 3102,3657.0,94.5,"BARUNA PASIFIK RAYA, PT",Realization,BANJARMASIN,2025-03-20T15:30:00.000Z,PKK.DN.IDBDJ.2503.002481,SPB.IDBDJ.0325.0002885
PKK.DN.IDBDJ.2503.002477,L85D25000068,PULAU TIGA 33023,4336.0,100.58,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-23T15:00:00.000Z,PKK.DN.IDBDJ.2503.002477,SPB.IDBDJ.0325.0002840
PKK.DN.IDBDJ.2503.002474,NP4Z25000002,DY 3308,4332.0,100.58,"NABILA RIZKI SAMUDERA, PT",Realization,BANJARMASIN,2025-03-22T15:00:00.000Z,PKK.DN.IDBDJ.2503.002474,SPB.IDBDJ.0325.0002691
