nomor_pkk,nomor_spb
PKK.DN.IDKOE.2503.000130,SPB.IDKOE.0325.0000130
PKK.DN.IDKBU.2503.000531,SPB.IDKBU.0325.0000536
PKK.DN.IDSUB.2503.000776,SPB.IDSUB.0325.0000781
PKK.DN.IDSUB.2503.000645,SPB.IDSUB.0325.0000780
PKK.DN.IDKBU.2503.000380,SPB.IDKBU.0325.0000534
PKK.LN.IDSRG.2503.000133,SPB.IDSRG.0325.0000229
PKK.DN.IDKUM.2503.000118,SPB.IDKUM.0325.0000147
PKK.LN.IDSUB.2503.000722,SPB.IDSUB.0325.0000779
PKK.LN.IDSUB.2503.000743,SPB.IDSUB.0325.0000778
PKK.DN.IDKBU.2503.000530,SPB.IDKBU.0325.0000535
PKK.DN.IDKOE.2503.000117,SPB.IDKOE.0325.0000129
PKK.DN.IDKBU.2503.000492,SPB.IDKBU.0325.0000533
PKK.DN.IDSRG.2503.000198,SPB.IDSRG.0325.0000230
PKK.DN.IDSUB.2503.000783,SPB.IDSUB.0325.0000777
PKK.DN.IDSRG.2503.000200,SPB.IDSRG.0325.0000228
PKK.DN.IDBDJ.2503.002483,SPB.IDBDJ.0325.0002528
PKK.DN.IDLBR.2503.000135,SPB.IDLBR.0325.0000130
PKK.DN.IDKOE.2503.000106,SPB.IDKOE.0325.0000128
PKK.DN.IDKUM.2503.000132,SPB.IDKUM.0325.0000146
PKK.DN.IDLBR.2503.000130,SPB.IDLBR.0325.0000129
PKK.DN.IDKUM.2503.000132,IDKUM-SPK.2503.001100	
PKK.DN.IDSUB.2503.000521,SPB.IDSUB.0325.0000775
PKK.DN.IDBJU.2503.000084,SPB.IDBJU.0325.0000094
PKK.DN.IDSTU.2503.000377,SPB.IDSTU.0325.0000511
PKK.DN.IDBDJ.2503.002332,SPB.IDBDJ.0325.0002527
PKK.DN.IDGRE.2503.000315,SPB.IDGRE.0325.0000601
PKK.DN.IDSUB.2503.000782,SPB.IDSUB.0325.0000774
PKK.DN.IDSUB.2503.000774,SPB.IDSUB.0325.0000773
PKK.DN.IDSTU.2503.000408,SPB.IDSTU.0325.0000510
PKK.DN.IDSTU.2503.000407,SPB.IDSTU.0325.0000509
PKK.DN.IDSTU.2503.000439,SPB.IDSTU.0325.0000508
PKK.DN.IDGRE.2503.000092,SPB.IDGRE.0325.0000598
PKK.DN.IDGRE.2503.000089,SPB.IDGRE.0325.0000597
PKK.DN.IDKBU.2503.000520,SPB.IDKBU.0325.0000530
PKK.DN.IDGRE.2503.000205,SPB.IDGRE.0325.0000596
PKK.DN.IDBJU.2503.000083,SPB.IDBJU.0325.0000092
PKK.DN.IDKOE.2503.000103,SPB.IDKOE.0325.0000127
PKK.LN.IDBDJ.2503.002269,SPB.IDBDJ.0325.0002525
PKK.DN.IDSRG.2503.000220,SPB.IDSRG.0325.0000227
PKK.DN.IDSTU.2503.000440,SPB.IDSTU.0325.0000507
PKK.LN.IDGRE.2503.000408,SPB.IDGRE.0325.0000599
PKK.DN.IDBJU.2503.000088,SPB.IDBJU.0325.0000093
PKK.DN.IDSTU.2503.000424,SPB.IDSTU.0325.0000504
PKK.DN.IDSTU.2503.000423,SPB.IDSTU.0325.0000503
PKK.DN.IDSMQ.2503.000283,SPB.IDSMQ.0325.0000321
PKK.LN.IDBDJ.2503.002274,SPB.IDBDJ.0325.0002526
PKK.DN.IDSMQ.2503.000160,SPB.IDSMQ.0325.0000319
PKK.LN.IDSUB.2503.000700,SPB.IDSUB.0325.0000770
PKK.DN.IDSUB.2503.000640,SPB.IDSUB.0325.0000772
PKK.DN.IDSMQ.2503.000161,SPB.IDSMQ.0325.0000320
PKK.DN.IDSUB.2503.000607,SPB.IDSUB.0325.0000771
PKK.DN.IDGRE.2503.000488,SPB.IDGRE.0325.0000595
PKK.DN.IDGRE.2503.000487,SPB.IDGRE.0325.0000594
PKK.LN.IDGRE.2503.000400,SPB.IDGRE.0325.0000593
PKK.DN.IDSUB.2503.000771,SPB.IDSUB.0325.0000769
PKK.DN.IDSUB.2503.000748,SPB.IDSUB.0325.0000768
PKK.DN.IDSUB.2503.000243,SPB.IDSUB.0325.0000767
PKK.DN.IDBDJ.2503.002321,SPB.IDBDJ.0325.0002522
PKK.DN.IDBDJ.2503.001985,SPB.IDBDJ.0325.0002520
PKK.DN.IDBDJ.2503.001986,SPB.IDBDJ.0325.0002519
PKK.DN.IDSUB.2501.000385,SPB.IDSUB.0325.0000764
PKK.DN.IDBDJ.2503.002350,SPB.IDBDJ.0325.0002518
PKK.DN.IDBDJ.2503.002349,SPB.IDBDJ.0325.0002517
PKK.DN.IDBDJ.2503.002278,SPB.IDBDJ.0325.0002516
PKK.DN.IDBDJ.2503.002162,SPB.IDBDJ.0325.0002515
PKK.DN.IDSTU.2503.000419,SPB.IDSTU.0325.0000502
PKK.DN.IDSTU.2503.000420,SPB.IDSTU.0325.0000501
PKK.LN.IDSTU.2503.000278,SPB.IDSTU.0325.0000500
PKK.DN.IDCXP.2503.000025,SPB.IDCXP.0325.0000072
PKK.LN.IDSUB.2503.000679,SPB.IDSUB.0325.0000766
PKK.DN.IDSUB.2503.000744,SPB.IDSUB.0325.0000765
PKK.DN.IDBDJ.2503.002361,SPB.IDBDJ.0325.0002521
PKK.DN.IDBDJ.2503.002328,SPB.IDBDJ.0325.0002512
PKK.DN.IDBDJ.2503.002359,SPB.IDBDJ.0325.0002511
PKK.DN.IDBDJ.2503.002277,SPB.IDBDJ.0325.0002514
PKK.DN.IDBDJ.2503.002330,SPB.IDBDJ.0325.0002513
PKK.DN.IDBDJ.2503.002318,SPB.IDBDJ.0325.0002510
PKK.DN.IDSRG.2503.000201,SPB.IDSRG.0325.0000226
PKK.DN.IDBDJ.2503.002331,SPB.IDBDJ.0325.0002503
PKK.DN.IDBDJ.2503.002201,SPB.IDBDJ.0325.0002502
PKK.DN.IDBDJ.2503.002161,SPB.IDBDJ.0325.0002509
PKK.DN.IDBDJ.2503.002231,SPB.IDBDJ.0325.0002508
PKK.DN.IDBDJ.2503.002230,SPB.IDBDJ.0325.0002507
PKK.DN.IDBDJ.2503.002482,SPB.IDBDJ.0325.0002506
PKK.DN.IDBDJ.2503.002479,SPB.IDBDJ.0325.0002505
PKK.DN.IDBDJ.2503.001773,SPB.IDBDJ.0325.0002501
PKK.DN.IDBDJ.2503.001774,SPB.IDBDJ.0325.0002500
PKK.DN.IDBDJ.2503.002124,SPB.IDBDJ.0325.0002499
PKK.DN.IDGRE.2503.000433,SPB.IDGRE.0325.0000592
PKK.DN.IDBDJ.2503.001358,SPB.IDBDJ.0325.0002493
PKK.DN.IDBDJ.2503.001359,SPB.IDBDJ.0325.0002492
PKK.LN.IDGRE.2503.000479,SPB.IDGRE.0325.0000591
PKK.DN.IDGRE.2503.000087,SPB.IDGRE.0325.0000590
PKK.DN.IDBDJ.2503.001101,SPB.IDBDJ.0325.0002490
PKK.DN.IDSUB.2503.000714,SPB.IDSUB.0325.0000760
PKK.DN.IDBDJ.2503.002366,SPB.IDBDJ.0325.0002489
PKK.DN.IDBDJ.2503.002097,SPB.IDBDJ.0325.0002488
PKK.DN.IDBDJ.2503.002096,SPB.IDBDJ.0325.0002487
PKK.DN.IDBDJ.2503.000789,SPB.IDBDJ.0325.0002486
PKK.DN.IDBDJ.2503.001102,SPB.IDBDJ.0325.0002491
PKK.DN.IDKBU.2503.000516,SPB.IDKBU.0325.0000524
PKK.DN.IDSUB.2503.000610,SPB.IDSUB.0325.0000761
PKK.DN.IDBOA.2503.001688,SPB.IDBOA.0325.0001922
PKK.DN.IDBOA.2503.001687,SPB.IDBOA.0325.0001921
PKK.DN.IDSUB.2502.000897,SPB.IDSUB.0325.0000759
PKK.DN.IDBDJ.2503.002413,SPB.IDBDJ.0325.0002482
PKK.DN.IDBDJ.2503.002033,SPB.IDBDJ.0325.0002485
PKK.DN.IDBDJ.2503.002034,SPB.IDBDJ.0325.0002484
PKK.DN.IDBDJ.2503.002414,SPB.IDBDJ.0325.0002483
PKK.DN.IDBDJ.2503.000051,SPB.IDBDJ.0325.0002481
PKK.DN.IDBDJ.2501.000916,SPB.IDBDJ.0325.0002480
PKK.DN.IDBDJ.2503.001248,SPB.IDBDJ.0325.0002479
PKK.DN.IDBDJ.2503.001247,SPB.IDBDJ.0325.0002478
PKK.DN.IDKOE.2503.000123,SPB.IDKOE.0325.0000126
PKK.DN.IDKOE.2503.000118,SPB.IDKOE.0325.0000125
PKK.DN.IDBDJ.2503.002258,SPB.IDBDJ.0325.0002477
PKK.DN.IDSUB.2503.000699,SPB.IDSUB.0325.0000758
PKK.LN.IDGRE.2503.000485,SPB.IDGRE.0325.0000589
PKK.DN.IDBDJ.2502.000700,SPB.IDBDJ.0325.0002469
PKK.DN.IDSUB.2503.000155,SPB.IDSUB.0325.0000756
PKK.DN.IDSUB.2503.000775,SPB.IDSUB.0325.0000757
PKK.DN.IDBDJ.2503.002445,SPB.IDBDJ.0325.0002473
PKK.DN.IDBDJ.2503.002039,SPB.IDBDJ.0325.0002471
PKK.DN.IDBDJ.2503.002040,SPB.IDBDJ.0325.0002470
PKK.DN.IDBDJ.2503.001694,SPB.IDBDJ.0325.0002468
PKK.DN.IDBDJ.2503.002013,SPB.IDBDJ.0325.0002466
PKK.DN.IDKOE.2503.000107,SPB.IDKOE.0325.0000124
PKK.DN.IDGRE.2503.000319,SPB.IDGRE.0325.0000588
PKK.DN.IDSUB.2503.000154,SPB.IDSUB.0325.0000755
PKK.DN.IDSUB.2503.000723,SPB.IDSUB.0325.0000754
